date,opening_price,highest_price,lowest_price,closing_price
2015-04-21,3163.29,3214.89,3135.22,3214.36
2015-04-22,3219.7,3300.84,3204.44,3299.22
2015-04-23,3311.07,3313.81,3245.76,3273.4
2015-04-24,3226.38,3250.23,3161.97,3223.96
2015-04-27,3257.97,3313.25,3257.97,3308.45
2015-04-28,3309.53,3370.03,3255.77,3282.33
2015-04-29,3268.52,3304.71,3243.54,3283.28
2015-04-30,3290.58,3309.42,3249.25,3250.49
2015-05-04,3250.12,3273.15,3204.31,3272.0
2015-05-05,3266.81,3270.96,3132.94,3148.81
2015-05-06,3175.89,3244.6,3110.11,3139.02
2015-05-07,3116.79,3142.14,3093.73,3094.88
2015-05-08,3126.0,3138.66,3045.01,3110.45
2015-05-11,3112.24,3169.87,3075.2,3169.13
2015-05-12,3162.67,3200.18,3136.46,3188.31
2015-05-13,3188.06,3188.96,3122.34,3141.3
2015-05-14,3136.13,3153.75,3107.68,3128.57
2015-05-15,3122.89,3124.61,3044.85,3060.41
